SN,Country,Literacy,Baby Mort,Birth Rate,Death Rate
1,Argentina,95,25.6,20,9
2,Australia,100,7.3,15,8
3,Bolivia,78,75,34,9
4,Cameroon,54,77,41,12
5,Chile,93,14.6,23,6
6,China,78,52,21,7
7,Costa Rica,93,11,26,4
8,Egypt,48,76.4,29,9
9,Ethiopia,24,110,45,14
10,Greece,93,8.2,10,10
11,Haiti,53,109,40,19
12,India,52,79,29,10
13,Indonesia,77,68,24,9
14,Italy,97,7.6,11,10
15,Kenya,69,74,42,11
16,Kuwait,73,12.5,28,2
17,Mexico,87,35,28,5
18,Nicaragua,57,52.5,35,7
19,Nigeria,51,75,44,12
20,Phillippines,90,51,27,7
21,Somalia,24,126,46,13
22,Thailand,93,37,19,6
23,USA,97,8.1,15,9
24,Vietnam,88,46,27,8
25,Zambia,73,85,46,18
